Lat,Long,Month,Day,Year,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
36.344,-0.178,1,8,1998,0.75655,0.009644391,0.062832866,0.122278152,0.031921148,0.3270697,0.0341383,0.033152854,0.020997338
36.332,-0.152,1,8,1998,0.42055,0.002508625,0.056242573,0.115911598,0.029219182,0.11316,0.016661794,0.01789019,0.02230496
36.306,-0.105,1,9,1998,0.90622,0.01091947,0.14260734,0.27570825,0.08643534,0.2036225,0.022198787,0.029074648,0.026452683
36.517,-0.317,1,12,1998,0.26177,0.02598748,0.017177161,0.094666743,0.029616286,0.03548893,0.006167929,0.006355034,0.041040319
36.519,-0.31,1,12,1998,0.2571,0.023135702,0.01410841,0.091001419,0.027330728,0.04378347,0.008230963,0.004706989,0.04528822
36.522,-0.316,1,13,1998,0.20183,0.022242603,0.012432045,0.082296412,0.024633726,0.02269433,0.004821368,0.004776124,0.037407816
36.52,-0.312,1,13,1998,0.23274,0.02431416,0.01216508,0.084712168,0.024939827,0.03006612,0.005607286,0.004571422,0.045392921
35.44,-1.558,12,25,1997,0.59975,0.004601856,0.10550095,0.11940796,0.0489073,0.1294034,0.016560167,0.04103736,0.0185945
35.406,-1.55,12,25,1997,0.5562,0.004560316,0.09247217,0.137888082,0.048097096,0.1281478,0.010494711,0.024317835,0.010540474
35.478,-1.539,12,25,1997,0.66025,0.012869122,0.11756135,0.12953315,0.05375584,0.117856,0.013737469,0.049818307,0.022863868
36.003,-1.549,12,26,1997,0.52073,0,0.082834064,0.135833999,0.052454768,0.1252143,0.015759852,0.029429207,0.011927943
36.331,-0.578,12,27,1997,0.37793,0.008527339,0.059281227,0.13840271,0.04997452,0.0574083,0.009137987,0.015076115,0.016121234
36.225,-0.574,12,27,1997,0.32068,0.0107786,0.04196666,0.130057165,0.045877722,0.05908481,0.01099946,0.013057675,0.010102464
36.326,-0.574,12,27,1997,0.3374,0.009605561,0.042982161,0.12759061,0.045315157,0.0538008,0.007857483,0.016232875,0.017244692
36.329,-0.564,12,28,1997,0.30404,0.01413698,0.035304391,0.11496628,0.04236224,0.04734856,0.007155408,0.007631525,0.015839522
36.333,-0.56,12,28,1997,0.37227,0.012651491,0.051521013,0.13071867,0.04357562,0.05008535,0.009131212,0.014833563,0.021049688
36.047,-1.268,12,29,1997,0.65994,0.005842623,0.104578365,0.135815225,0.053873866,0.1977723,0.013694277,0.032486221,0.00948782
36.058,-1.259,12,29,1997,0.81707,0.007347076,0.131218275,0.160020831,0.064388866,0.2319677,0.014566578,0.057646424,0.013833642
36.087,-1.248,12,29,1997,0.65639,0.003701532,0.133270217,0.15535,0.059345085,0.1579266,0.016296783,0.032853139,0.013841928
36.128,-1.218,12,30,1997,0.53533,0.007726349,0.076195351,0.124256036,0.05465925,0.1438565,0.009639348,0.021795751,0.009832427
36.139,-1.208,12,30,1997,0.58931,0,0.113331834,0.173888655,0.067222098,0.08786575,0.007136776,0.040897931,0.027311001
36.152,-1.195,12,30,1997,0.67128,0,0.144638341,0.184996167,0.070175564,0.08670973,0.019669115,0.03835422,0.033802806
21.046,-31.098,10,16,1991,0.071,0.025,0,0.012,0.004,0.004,0,0,0.041
20.322,-18.344,6,13,1997,3.256,0,0,0.098,0.027,1.994,0.087,0,0.049
20.32,-18.339,6,14,1992,2.679,0,0,0.072,0.033,1.912,0.069,0,0.02
18.29,-21.061,6,17,1992,0.908,0,0.165,0.251,0.039,0.157,0.093,0.026,0.192
18.259,-21.135,6,18,1992,0.681,0,0.165,0.089,0.025,0.59,0.063,0,0.072
21.03,-31.101,6,22,1992,0.055,0.014,0.005,0.012,0.004,0.004,0,0,0.031
21.015,-31.097,6,23,1992,0.04,0.011,0.002,0.011,0.004,0.004,0,0,0.022
